,name,logP,HST,EBV,M_B0_h,M_V0_h,M_R0_h,M_I0_h,M_J0_h,M_H0_h,M_K0_h
37,TT Aql,1.138459,10.022,0.438,-3.43,-4.3,-4.8,-5.15,-5.72,-6.05,-6.15
38,LS Pup,1.150646,13.389,0.461,-3.63,-4.4,-4.87,-5.2,-5.76,-6.09,-6.19
39,VW Cen,1.177138,12.764,0.428,-2.94,-3.87,-4.43,-4.83,-5.55,-5.95,-6.1
40,X Cyg,1.214482,10.328,0.228,-3.76,-4.66,-5.17,-5.53,-6.14,-6.48,-6.6
41,CD Cyg,1.232334,12.045,0.493,-3.87,-4.68,-5.19,-5.5,-6.13,-6.45,-6.55
42,Y Oph,1.233609,8.712,0.645,-3.89,-4.62,-5.16,-5.43,-5.96,-6.21,-6.28
43,SZ Aql,1.234029,11.686,0.537,-3.9,-4.79,-5.33,-5.68,-6.3,-6.63,-6.74
44,VY Car,1.276818,11.298,0.237,-3.69,-4.61,-5.13,-5.51,-6.13,-6.49,-6.61
45,RU Sct,1.29448,11.183,0.921,-3.94,-4.69,-5.26,-5.51,-6.09,-6.38,-6.46
46,RY Sco,1.307927,10.353,0.718,-3.91,-4.65,-5.19,-5.48,-6.09,-6.38,-6.49
47,RZ Vel,1.309564,10.775,0.299,-3.83,-4.66,-5.14,-5.51,-6.13,-6.47,-6.59
48,WZ Sgr,1.339443,11.221,0.431,-3.63,-4.6,-5.16,-5.55,-6.3,-6.7,-6.84
49,WZ Car,1.361977,12.688,0.37,-3.83,-4.61,-5.09,-5.43,-6.08,-6.42,-6.54
50,SW Vel,1.370016,11.884,0.344,-4.07,-4.88,-5.37,-5.73,-6.34,-6.68,-6.8
51,T Mon,1.431915,10.713,0.181,-4.18,-5.17,-5.68,-6.08,-6.75,-7.14,-7.27
52,RY Vel,1.449158,11.734,0.547,-4.32,-5.14,-5.65,-5.99,-6.62,-6.92,-7.04
53,AQ Pup,1.478624,12.407,0.518,-4.56,-5.39,-5.93,-6.28,-6.85,-7.2,-7.31
54,KN Cen,1.531857,12.843,0.797,-4.79,-5.59,-6.14,-6.43,-7.15,-7.53,-7.67
55,l Car,1.550816,8.484,0.147,-4.11,-5.22,-5.8,-6.21,-6.91,-7.33,-7.46
56,U Car,1.58897,10.87,0.265,-4.51,-5.43,-5.94,-6.32,-6.97,-7.32,-7.45
57,RS Pup,1.61742,11.298,0.457,-4.78,-5.76,-6.32,-6.72,-7.37,-7.74,-7.87
58,SV Vul,1.652569,11.686,0.461,-4.97,-5.97,-6.53,-6.9,-7.52,-7.86,-7.96
