name,logP,B_mag,V_mag,I_mag,H_mag,J_mag,K_mag,BPmag,Gmag,"RPmag ",IRSB,gplx,EBV,E(BP-RP),Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,Radius_IRSB,Teq,Teff,RUWE,QLT,[Fe/H],Mass,RA_ICRS,DE_ICRS,DR3Name
TVul,0.646934,6.39,5.753,5.054,4.27,4.601,4.205,5.828832,5.499797,5.005271,8.69,8.779609271617035,0.06,0.0222,-2.554,-3.132,-3.754,-4.146,-4.455,-4.508,-4.721,-4.757,38.6,5864.0,5912.6,1.2,1,0.1393,4.3,312.86767706102,28.25048193691,Gaia DR3 1857884212378132096
XYCas,0.653376,11.085,9.953,8.736,7.335,7.832,7.212,10.25398,9.585123,8.798761,11.039,11.621368055041328,0.533,,-2.209,-2.808,-3.35,-3.71,-4.016,-4.032,-4.191,-4.253,30.1,6105.0,,1.18,3,,2.4,12.47192037703,60.12737898732,Gaia DR3 426881614218441600
TVel,0.666501,8.944,8.032,6.959,5.768,6.225,5.641,8.305958,7.774636,7.0528827,10.003,10.05660033600083,0.289,0.5009,-2.281,-2.906,-3.612,-4.051,-4.404,-4.473,-4.709,-4.763,39.1,5604.0,5705.7,0.926,2,-0.3743,4.1,129.42006775171,-47.36194868437,Gaia DR3 5521459979795304320
RYCMa,0.670099,8.953,8.108,7.119,6.045,6.455,5.936,8.449467,7.938902,7.2278967,10.713,10.327899676023286,0.239,0.3669,-2.771,-3.378,-4.064,-4.484,-4.807,-4.869,-5.129,-5.135,46.4,5708.0,5813.3,1.29,5,-0.1008,5.9,109.1568033685,-11.48729732864,Gaia DR3 3046774762417915136
VZCyg,0.687034,9.836,8.956,7.933,6.872,7.283,6.759,9.251616,8.745005,8.053974,11.452,11.162505097664255,0.266,0.5206,-2.741,-3.355,-4.042,-4.42,-4.736,-4.795,-5.107,-5.053,44.6,5779.0,5814.7,1.314,1,-0.2581,5.2,327.92264896468,43.13402308887,Gaia DR3 1960750328384177408
CFCas,0.687994,12.338,11.128,9.691,8.132,8.701,7.966,11.468504,10.724333,9.874154,12.212,12.252554504981493,0.553,,-2.213,-2.869,-3.607,-4.033,-4.403,-4.459,-4.75,-4.752,39.3,5563.0,,1.036,3,,3.9,359.57487036665,61.2210537331,Gaia DR3 2011892703004353792
ASPer,0.696531,11.02,9.719,8.09,6.478,7.035,6.315,10.073069,9.226171,8.296702,10.831,10.814865478528557,0.679,1.2495,-2.684,-3.305,-4.075,-4.436,-4.75,-4.776,-5.269,-5.011,44.5,5730.0,6310.6,1.079,5,-0.3998,5.0,64.94524474253,48.95326102831,Gaia DR3 270272675510149504
VLac,0.697493,9.816,8.921,7.866,6.671,7.121,6.587,9.305993,8.771336,7.9975805,11.321,11.372474932442639,0.335,0.5188,-2.923,-3.483,-4.113,-4.516,-4.846,-4.863,-5.091,-5.102,45.7,5858.0,5731.4,1.094,3,-0.2824,5.3,342.15828864485,56.32153324908,Gaia DR3 2003938801532007808
V350Sgr,0.712165,8.382,7.474,6.416,5.257,5.712,5.165,7.80918,7.248875,6.557424,9.982,10.397456924021109,0.299,0.5489,-2.865,-3.475,-4.153,-4.552,-4.9,-4.932,-5.208,-5.193,47.8,5750.0,5796.6,2.427,2,-0.1824,5.6,281.32289948318,-20.64739456406,Gaia DR3 4080122796947250176
V0386Cyg,0.720788,11.167,9.627,7.742,5.809,6.482,5.587,10.015031,8.998431,7.964558,9.599,10.159435638990368,0.841,1.3702,-1.99,-2.689,-3.509,-3.91,-4.281,-4.336,-4.781,-4.629,37.4,5502.0,5817.9,0.951,4,-0.1374,3.2,318.66846943872,41.716336531,Gaia DR3 1968971582984827136
CRSer,0.724391,12.492,10.853,8.895,6.763,7.463,6.548,11.121695,10.01851,8.980743,11.565,11.063017638117676,1.036,,-3.456,-4.059,-4.705,-5.079,-5.408,-5.415,-5.707,-5.647,58.7,5901.0,,1.19,2,,8.4,272.50887793975,-13.54596188866,Gaia DR3 4147381366335558784
BGLac,0.726883,9.833,8.881,7.784,6.658,7.112,6.543,9.158546,8.614144,7.9073715,11.247,11.042322127203757,0.3,0.4836,-2.684,-3.334,-4.052,-4.418,-4.764,-4.819,-5.164,-5.095,45.6,5717.0,5697.7,1.43,2,-0.3346,4.8,330.10475637179,43.44535204904,Gaia DR3 1960981328902089088
dCeph,0.729678,4.612,3.959,3.209,2.392,2.748,2.325,4.231699,3.8506,3.261085,7.13,7.211833790758262,0.075,0.2539,-2.835,-3.414,-4.068,-4.453,-4.781,-4.834,-5.083,-5.097,45.5,5802.0,6355.6,2.713,2,-0.129,4.8,337.2928846512,58.41520817274,Gaia DR3 2200153454733285248
V1162Aql,0.730464,8.677,7.789,6.845,5.807,6.22,5.714,8.092654,7.593359,6.939382,9.984,10.340667869239475,0.195,0.2865,-2.133,-2.824,-3.522,-3.948,-4.291,-4.345,-4.602,-4.618,36.9,5663.0,5737.2,0.952,3,-0.0744,3.0,298.08749761841,-11.3669243656,Gaia DR3 4190143160245024256
CVMon,0.730685,11.596,10.305,8.616,6.791,7.404,6.576,10.594475,9.701135,8.769544,10.918,10.978800580030445,0.722,0.5633,-2.377,-2.944,-3.72,-4.195,-4.549,-4.619,-4.922,-4.911,42.7,5470.0,4616.4,1.1,2,-1.4814,4.2,99.27018871085,3.06396219477,Gaia DR3 3127142323596470144
SWCas,0.735675,10.808,9.703,8.387,6.982,7.5,6.859,10.004331,9.355734,8.538896,11.655,11.512722080938333,0.467,0.8127,-2.823,-3.461,-4.185,-4.595,-4.946,-4.976,-5.308,-5.238,49.2,5677.0,5971.6,1.123,3,-0.5406,5.6,346.79198165636,58.55419147277,Gaia DR3 2010285491880986112
VCen,0.739882,7.705,6.834,5.796,4.628,5.073,4.509,7.228839,6.637,5.935676,9.041,9.197433322695396,0.294,0.6055,-2.58,-3.157,-3.823,-4.245,-4.585,-4.645,-4.856,-4.92,42.3,5706.0,5988.6,1.06,3,-0.4147,4.0,218.13779279681,-56.88774644776,Gaia DR3 5891675303053080704
YSgr,0.761428,6.595,5.743,4.797,3.702,4.131,3.612,5.955813,5.475163,4.789844,8.143,8.447025165978019,0.188,0.1958,-2.343,-3.008,-3.715,-4.189,-4.551,-4.603,-4.814,-4.887,42.1,5568.0,5371.7,1.757,4,-0.2457,3.7,275.34576074156,-18.86003402735,Gaia DR3 4096107909387492992
FMCas,0.764123,10.119,9.128,7.978,6.746,7.223,6.638,9.334805,8.797508,8.054358,11.055,11.492937268073236,0.325,0.4114,-2.311,-2.976,-3.715,-4.138,-4.499,-4.542,-4.86,-4.82,40.9,5604.0,5625.7,1.081,3,-0.0682,3.4,3.61765603372,56.25293038823,Gaia DR3 422226488141991296
CSVel,0.771201,13.049,11.709,10.068,8.234,8.84,8.018,12.0446,11.1879,10.216908,12.515,12.547220228688158,0.737,,-2.584,-3.192,-3.894,-4.371,-4.712,-4.78,-4.992,-5.061,46.0,5567.0,,0.905,3,,4.3,145.29271952315,-53.81603750378,Gaia DR3 5308893149150949248
MWCyg,0.774852,10.841,9.483,7.874,6.209,6.799,6.041,9.850045,9.016481,8.090841,10.267,11.199703416360896,0.635,0.9076,-2.113,-2.834,-3.64,-4.067,-4.43,-4.47,-4.889,-4.747,40.1,5508.0,5186.2,1.208,4,-2.2118,3.2,303.09510555228,32.87159966536,Gaia DR3 2055014277739104896
FMAql,0.786342,9.546,8.27,6.717,5.235,5.794,5.075,8.617665,7.822873,6.906029,10.363,9.893257091898544,0.589,,-3.309,-3.995,-4.802,-5.124,-5.473,-5.515,-6.054,-5.783,63.6,5667.0,,1.261,2,,8.3,287.31662690693,10.55246519356,Gaia DR3 4312361436842603520
CRCep,0.794695,11.048,9.655,7.929,6.098,6.754,5.935,9.933943,9.031693,8.090185,9.94,10.66520836988451,0.709,,-1.892,-2.576,-3.403,-3.855,-4.256,-4.278,-4.687,-4.569,37.0,5432.0,,1.056,2,,2.5,341.60317447817,59.44218743844,Gaia DR3 2008504454839717120
RSCas,0.799056,11.423,9.944,8.217,6.227,6.884,6.03,10.305975,9.329637,8.343407,10.317,10.872222441629962,0.833,1.2549,-2.419,-3.064,-3.736,-4.218,-4.577,-4.607,-4.779,-4.874,42.2,5628.0,5867.0,1.045,4,-0.1898,3.3,354.31690503772,62.42898845585,Gaia DR3 2015820463470505600
XVul,0.800689,10.28,8.835,7.137,5.426,6.021,5.255,9.223192,8.322478,7.3467994,9.437,10.238056595920463,0.742,,-2.297,-2.999,-3.757,-4.116,-4.445,-4.467,-4.934,-4.709,38.7,5756.0,,1.059,5,,2.7,299.36918285728,26.5564491634,Gaia DR3 2027263738133623168
RRLac,0.807281,9.753,8.842,7.816,6.619,7.058,6.527,9.21242,8.684987,7.924542,10.772,11.674609409067937,0.319,0.6044,-2.369,-2.963,-3.582,-4.015,-4.339,-4.368,-4.547,-4.61,37.1,5813.0,6193.9,1.1,4,-0.168,2.5,340.36049512807,56.43277230583,Gaia DR3 2006989121667184384
XXSgr,0.807815,9.967,8.856,7.469,5.961,6.496,5.824,9.241948,8.539941,7.664947,10.477,10.592480841288962,0.521,,-2.714,-3.307,-4.031,-4.473,-4.82,-4.853,-5.159,-5.115,47.3,5628.0,,1.1,3,,4.1,276.18541940721,-16.79717387453,Gaia DR3 4096979650282842112
AWPer,0.810474,8.533,7.467,6.19,4.83,5.308,4.715,7.769703,7.085648,6.285039,9.915,9.74509548902599,0.489,0.6817,-3.451,-4.027,-4.686,-5.069,-5.371,-5.388,-5.707,-5.608,58.9,5883.0,5650.5,1.156,5,-0.5843,6.6,71.9429804233,36.72278112168,Gaia DR3 174489098011145216
BBSgr,0.821971,7.924,6.94,5.822,4.639,5.099,4.51,7.13682,6.584278,5.87809,9.61,9.559813198538286,0.281,,-2.875,-3.579,-4.34,-4.776,-5.135,-5.208,-5.521,-5.504,56.5,5521.0,,0.82,1,,5.8,282.74947248862,-20.29525298445,Gaia DR3 4085919765884068736
VCar,0.82586,8.235,7.368,6.421,5.387,5.806,5.284,7.650739,7.17335,6.511265,9.695,10.389031150564474,0.166,,-2.162,-2.864,-3.6,-4.046,-4.405,-4.474,-4.743,-4.769,40.3,5541.0,,1.042,2,,2.8,127.18202311384,-60.12256315649,Gaia DR3 5302258008774271488
USgr,0.828997,7.786,6.69,5.426,4.093,4.587,3.954,7.129108,6.42923,5.63952,8.881,8.923040732551554,0.402,0.0018,-2.796,-3.489,-4.244,-4.673,-5.023,-5.082,-5.416,-5.363,53.2,5562.0,4382.0,0.853,2,-0.9225,5.0,277.97220951561,-19.1250998575,Gaia DR3 4092905375639902464
TWCMa,0.844792,10.534,9.564,8.419,7.175,7.66,7.069,9.807674,9.219297,8.575474,11.266,11.901871648972966,0.329,,-2.124,-2.765,-3.493,-3.916,-4.283,-4.324,-4.623,-4.604,37.4,5605.0,,1.149,3,,2.2,110.50990452423,-14.31817971516,Gaia DR3 3031875585286182144
xSgr,0.845893,5.311,4.561,3.655,2.618,3.016,2.521,4.77966,4.327284,3.681707,7.529,7.716269118243055,0.237,0.4168,-3.221,-3.734,-4.34,-4.737,-5.05,-5.099,-5.28,-5.348,51.7,5882.0,6114.3,1.222,2,-0.1887,4.5,266.89007492147,-27.83083461775,Gaia DR3 4057701830728920064
UAql,0.846591,7.475,6.449,5.259,4.008,4.476,3.89,6.819616,6.16102,5.3851247,8.861,8.712694514966282,0.36,0.6481,-2.909,-3.576,-4.309,-4.724,-5.063,-5.109,-5.448,-5.374,53.4,5644.0,5649.5,3.09,3,-0.2496,4.8,292.33901044157,-7.04412597366,Gaia DR3 4207681367143932800
etaAql,0.85593,4.689,3.904,3.018,2.066,2.46,1.985,4.282705,3.747671,3.1402369,7.032,7.14831762378528,0.129,0.3259,-2.889,-3.547,-4.267,-4.694,-5.041,-5.096,-5.387,-5.374,53.3,5620.0,5808.3,2.561,2,-0.1891,4.7,298.11824336044,1.00562189681,Gaia DR3 4240272953377646592
V0459Cyg,0.860413,12.035,10.601,8.837,7.073,7.715,6.903,11.019217,10.057569,9.072443,11.52,11.882068946790401,0.73,,-2.574,-3.278,-4.116,-4.494,-4.873,-4.898,-5.418,-5.175,49.4,5519.0,,1.086,4,,3.9,317.72653587334,49.14204142755,Gaia DR3 2165771172070496512
RSOri,0.878917,9.376,8.414,7.253,6.018,6.489,5.917,8.788838,8.193092,7.4433384,11.137,11.001908401272402,0.352,0.5525,-3.251,-3.861,-4.575,-4.98,-5.325,-5.355,-5.684,-5.614,59.9,5687.0,5707.3,1.119,4,-0.1611,5.6,95.55497028344,14.67812664531,Gaia DR3 3368698813404804352
GHCyg,0.893092,11.159,9.896,8.43,6.799,7.356,6.638,10.179724,9.393191,8.509033,12.108,11.717694705460506,0.63,,-3.615,-4.251,-4.915,-5.346,-5.677,-5.713,-5.951,-5.965,70.1,5741.0,,1.073,6,,7.5,299.79497615604,29.45072316718,Gaia DR3 2030063919381336832
VYCyg,0.895256,10.822,9.582,8.079,6.548,7.102,6.396,9.990324,9.205185,8.323429,11.147,11.429397374880352,0.606,,-2.889,-3.525,-4.259,-4.617,-4.953,-4.984,-5.4,-5.236,50.1,5747.0,,1.073,5,,3.6,316.06930218182,39.97223311596,Gaia DR3 1873112207907294848
WGem,0.898368,7.865,6.95,5.901,4.763,5.204,4.693,7.355924,6.75011,6.033707,9.795,9.91019545058013,0.255,,-3.009,-3.669,-4.395,-4.831,-5.181,-5.2,-5.522,-5.453,55.9,5651.0,,1.225,6,,4.6,98.73938107213,15.33046066377,Gaia DR3 3356940155020790656
DLCas,0.903126,10.121,8.968,7.575,6.101,6.651,5.949,9.289058,8.57736,7.724942,11.647,11.049373376975083,0.488,0.7861,-3.591,-4.256,-5.031,-5.456,-5.831,-5.885,-6.234,-6.181,64.9,5515.0,5814.4,1.883,4,-0.2499,6.2,7.49409611203,60.21195729734,Gaia DR3 428620663657823232
BKAur,0.903222,10.524,9.457,8.249,6.885,7.387,6.772,9.716227,9.128825,8.322496,11.408,11.677938427875784,0.425,0.6489,-2.682,-3.323,-3.994,-4.422,-4.771,-4.799,-5.032,-5.059,38.3,5733.0,6079.9,1.007,3,-0.0671,2.0,77.66762373902,49.68760306511,Gaia DR3 261548119462093568
SSge,0.923352,6.424,5.617,4.775,3.846,4.227,3.765,5.908135,5.461868,4.816586,9.342,8.841839350480978,0.099,0.267,-3.337,-4.046,-4.762,-5.208,-5.554,-5.615,-5.874,-5.894,57.1,5591.0,5639.0,4.003,4,-0.1011,4.4,299.00526380027,16.63476346161,Gaia DR3 1820309639468685824
FNAql,0.976878,9.593,8.389,6.947,5.495,6.05,5.356,8.70911,8.005132,7.1034007,10.327,10.582928469687205,0.486,0.7629,-2.79,-3.507,-4.335,-4.735,-5.116,-5.158,-5.617,-5.449,47.1,5486.0,5499.4,1.125,2,-0.1958,2.5,288.19713780418,3.55739781345,Gaia DR3 4269036830424588800
YZSgr,0.980171,8.372,7.351,6.214,5.003,5.472,4.903,7.592309,7.014152,6.27917,10.361,10.244027307737111,0.281,0.1022,-3.178,-3.92,-4.699,-5.154,-5.523,-5.566,-5.91,-5.849,56.9,5492.0,4801.5,0.955,1,-0.78,3.7,282.36912121969,-16.72304157114,Gaia DR3 4099189015819292800
SMus,0.98498,6.963,6.136,5.188,4.127,4.553,4.017,6.333974,5.881265,5.251543,9.67,9.602141962137964,0.14,,-3.299,-3.988,-4.757,-5.249,-5.625,-5.707,-5.952,-6.021,61.4,5399.0,,4.495,3,,4.3,183.19580971297,-70.15179538057,Gaia DR3 5855852527008107008
SNor,0.989194,7.375,6.429,5.427,4.275,4.729,4.162,6.699772,6.175861,5.503014,9.888,9.728963126792777,0.179,0.2211,-3.27,-4.036,-4.813,-5.328,-5.718,-5.795,-6.015,-6.117,64.5,5345.0,5350.9,0.878,2,-0.129,4.8,244.7159519047,-57.89980282729,Gaia DR3 5835124087174043136
DDCas,0.991759,11.076,9.879,8.507,7.068,7.627,6.948,10.13101,9.469182,8.650616,12.353,12.077054664486077,0.45,0.0309,-3.181,-3.926,-4.73,-5.15,-5.548,-5.578,-5.975,-5.872,57.3,5486.0,4215.1,1.049,4,-1.1153,3.7,359.39564965836,62.71824065724,Gaia DR3 2013029941628292352
betaDor,0.993131,4.545,3.743,2.947,2.029,2.438,1.959,4.038506,3.593462,2.9889321,7.703,7.639078525279643,0.051,0.2101,-3.373,-4.124,-4.856,-5.313,-5.703,-5.763,-5.992,-6.073,62.4,5498.0,5838.2,4.535,2,-0.3443,4.4,83.4063106733,-62.48976923943,Gaia DR3 4757601523650165120
BZCyg,1.006127,11.837,10.221,8.324,6.155,6.886,5.924,10.510661,9.456697,8.456591,11.89,11.344383530323437,0.885,1.3121,-3.798,-4.526,-5.304,-5.838,-6.252,-6.306,-6.509,-6.628,81.9,5325.0,5878.6,1.138,3,-0.219,7.5,311.49912578441,45.30693439453,Gaia DR3 2070224337474904064
